"","artist","genres"
"524","Janice Vidal","c-pop,cantopop,mandopop"
"525","JC <U+9673><U+6CF3><U+5F64>",NA
"526","HANA",""
"527","Lary Over","latin,latin hip hop,pop catracho,reggaeton flow,trap latino,tropical"
"528","Teflon Brothers","finnish dance pop,finnish hip hop"
"529","Roope Salminen & Koirat","finnish dance pop,finnish hip hop,finnish pop"
"530","Keko Salata","finnish dance pop,finnish hip hop"
"531","Reino Nordin","finnish dance pop,finnish hip hop,finnish pop"
"532","Adi L Hasla","finnish dance pop,finnish hip hop"
"533","Benjamin","swedish idol pop,swedish pop"
"534","Evelina","norwegian gospel"
"535","Vesala","finnish dance pop,finnish pop,iskelma"
"536","Lukas Leon","finnish dance pop,finnish hip hop"
"537","Mouhous","finnish dance pop,finnish hip hop"
"538","Arttu Wiskari","finnish dance pop,finnish hip hop,finnish pop,iskelma,suomi rock"
"539","Lauri Tähkä","finnish dance pop,finnish pop,suomi rock"
"540","Elastinen","finnish dance pop,finnish hip hop,finnish pop,iskelma,suomi rock"
"541","Yksi Totuus","finnish dance pop,finnish hip hop"
"542","Mäkki",NA
"543","Pyhimys","finnish dance pop,finnish hip hop"
"544","Ville Valo & Agents",""
"545","Gasellit","finnish dance pop,finnish hip hop"
"546","Vesta","finnish indie,finnish pop,suomi rock"
"547","Lord Est","finnish dance pop,finnish hip hop,finnish pop,finnish reggae,iskelma,suomi rock"
"548","MEGA-Ertsi","finnish dance pop"
"549","Ressu Redford","classic iskelma,finnish pop,iskelma,suomi rock"
"550","Ninho","french hip hop,trap francais"
